  id  |         bucket         | action | confidence |                                                           reason                                                            |          decided_at           | symbol 
------+------------------------+--------+------------+-----------------------------------------------------------------------------------------------------------------------------+-------------------------------+--------
 3975 | 2026-01-05 18:29:00+00 | BUY    |      0.870 | Short-term EMAs crossed above long-term EMA, indicating a bullish signal.                                                   | 2026-01-05 18:29:19.168005+00 | BTC
 3976 | 2026-01-05 20:10:00+00 | BUY    |      0.800 | Test legal BUY when FLAT                                                                                                    | 2026-01-05 18:29:33.167702+00 | BTC
 3977 | 2026-01-05 18:30:00+00 | HOLD   |      0.500 | Insufficient information to determine trade direction.                                                                      | 2026-01-05 18:30:18.328631+00 | BTC
 3978 | 2026-01-05 18:31:00+00 | HOLD   |      0.500 | Insufficient information to make a trade decision with current market data and position state.                              | 2026-01-05 18:31:21.458355+00 | BTC
 3979 | 2026-01-05 18:32:00+00 | BUY    |      0.700 | Current price has broken above EMA(21), indicating a potential bullish reversal.                                            | 2026-01-05 18:32:21.800705+00 | BTC
 3980 | 2026-01-05 18:34:00+00 | HOLD   |      0.500 | Insufficient analysis of recent market fluctuations                                                                         | 2026-01-05 18:35:22.335135+00 | BTC
 3981 | 2026-01-05 18:35:00+00 | HOLD   |      0.500 | Insufficient trend analysis on recent 1-minute candles                                                                      | 2026-01-05 18:35:32.370566+00 | BTC
 3982 | 2026-01-05 18:37:00+00 | HOLD   |      0.500 | Insufficient market analysis due to limited candles and uncertain position state.                                           | 2026-01-05 18:37:20.236818+00 | BTC
 3983 | 2026-01-05 18:42:00+00 | HOLD   |      0.500 | No clear trend or directional movement in the short and medium-term candles.                                                | 2026-01-05 18:42:29.230299+00 | BTC
 3984 | 2026-01-05 18:43:00+00 | HOLD   |      0.500 | Insufficient historical data to make a decision                                                                             | 2026-01-05 18:43:19.284155+00 | BTC
 3985 | 2026-01-05 18:46:00+00 | HOLD   |      0.500 | Insufficient market analysis due to limited historical data, erring on caution.                                             | 2026-01-05 18:52:51.22048+00  | BTC
 3986 | 2026-01-05 18:48:00+00 | HOLD   |      0.500 | Uncertainty in price movement and no clear trend indication                                                                 | 2026-01-05 18:53:00.298352+00 | BTC
